STA,Lat,Long
23375,-6.22156907,106.5744908
23380,-6.2215649,106.5744458
23385,-6.221560721,106.5744009
23390,-6.221556541,106.5743559
23395,-6.221552353,106.5743109
23400,-6.221548155,106.5742659
23405,-6.221543949,106.5742209
23410,-6.221539733,106.5741759
23415,-6.221535527,106.5741309
23420,-6.22153132,106.574086
23425,-6.221527105,106.574041
23430,-6.221522916,106.573996
23435,-6.221518719,106.573951
23440,-6.221514503,106.573906
23445,-6.22151026,106.573861
23450,-6.221506027,106.573816
23455,-6.221501811,106.5737711
23460,-6.221497605,106.5737261
23465,-6.221493416,106.5736811
23470,-6.221489237,106.5736361
23475,-6.221485057,106.5735911
23480,-6.221480905,106.5735461
23485,-6.221476744,106.5735011
23490,-6.221472591,106.5734561
23495,-6.221468439,106.5734112
23500,-6.221464287,106.5733662
23505,-6.221460143,106.5733212
23510,-6.221456009,106.5732762
23515,-6.221451848,106.5732312
23520,-6.221447677,106.5731862
23525,-6.221443507,106.5731412
23530,-6.221439346,106.5730962
23535,-6.221435175,106.5730512
23540,-6.221431041,106.5730062
23545,-6.221426925,106.5729613
23550,-6.221422809,106.5729163
23555,-6.221418747,106.5728713
23560,-6.221414676,106.5728263
23565,-6.221410605,106.5727813
23570,-6.221406534,106.5727363
23575,-6.221402454,106.5726913
23580,-6.22139832,106.5726463
23585,-6.221394185,106.5726013
23590,-6.221390051,106.5725563
23595,-6.221385908,106.5725113
23600,-6.221381773,106.5724663
23605,-6.221377576,106.5724213
23610,-6.221373378,106.5723763
23615,-6.221369117,106.5723314
23620,-6.221364802,106.5722864
23625,-6.221360487,106.5722414
23630,-6.221356235,106.5721964
23635,-6.221351983,106.5721514
23640,-6.221347731,106.5721065
23645,-6.221343479,106.5720615
23650,-6.221339227,106.5720165
23655,-6.221334939,106.5719715
23660,-6.221330642,106.5719265
23665,-6.221326354,106.5718816
23670,-6.221322057,106.5718366
23675,-6.221317759,106.5717916
23680,-6.221313444,106.5717466
23685,-6.22130912,106.5717017
23690,-6.221304814,106.5716567
23695,-6.221300525,106.5716117
23700,-6.221296237,106.5715667
23705,-6.221291877,106.5715218
23710,-6.221287516,106.5714768
23715,-6.221283147,106.5714318
23720,-6.221278768,106.5713869
23725,-6.22127438,106.5713419
23730,-6.221269993,106.5712969
23735,-6.221265605,106.571252
23740,-6.221261181,106.571207
23745,-6.221256721,106.571162
23750,-6.22125227,106.5711171
23755,-6.221247738,106.5710721
23760,-6.221243196,106.5710272
23765,-6.221238628,106.5709822
23770,-6.221234023,106.5709373
23775,-6.221229418,106.5708923
23780,-6.221224641,106.5708474
23785,-6.221219865,106.5708025
23790,-6.221215043,106.5707575
23795,-6.221210157,106.5707126
23800,-6.221205272,106.5706677
23805,-6.221200116,106.5706228
23810,-6.221194941,106.5705779
23815,-6.221189712,106.5705331
23820,-6.221184429,106.5704882
